Total Household Income,Region,Total Food Expenditure,Main Source of Income,Agricultural Household indicator,Bread and Cereals Expenditure,Total Rice Expenditure,Meat Expenditure,Total Fish and  marine products Expenditure,Fruit Expenditure,Vegetables Expenditure,Restaurant and hotels Expenditure,Alcoholic Beverages Expenditure,Tobacco Expenditure,"Clothing, Footwear and Other Wear Expenditure",Housing and water Expenditure,Imputed House Rental Value,Medical Care Expenditure,Transportation Expenditure,Communication Expenditure,Education Expenditure,Miscellaneous Goods and Services Expenditure,Special Occasions Expenditure,Crop Farming and Gardening expenses,Total Income from Entrepreneurial Acitivites,Household Head Sex,Household Head Age,Household Head Marital Status,Household Head Highest Grade Completed,Household Head Job or Business Indicator,Household Head Occupation,Household Head Class of Worker,Type of Household,Total Number of Family members,Members with age less than 5 year old,Members with age 5 - 17 years old,Total number of family members employed,Type of Building/House,Type of Roof,Type of Walls,House Floor Area,House Age,Number of bedrooms,Tenure Status,Toilet Facilities,Electricity,Main Source of Water Supply,Number of Television,Number of CD/VCD/DVD,Number of Component/Stereo set,Number of Refrigerator/Freezer,Number of Washing Machine,Number of Airconditioner,"Number of Car, Jeep, Van",Number of Landline/wireless telephones,Number of Cellular phone,Number of Personal Computer,Number of Stove with Oven/Gas Range,Number of Motorized Banca,Number of Motorcycle/Tricycle
623738,NCR,133762,Wage/Salaries,0,21969,13000,15192,10438,3690,5208,52640,0,0,13548,124170,84000,5784,19440,19188,0,41436,8200,0,0,Male,62,Widowed,Arts Programs,With Job/Business,"Composers, musicians and singers",Worked for private establishment,Single Family,3,0,0,3,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,25,25,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,Others,2,0,1,1,1,1,0,1,3,1,1,0,0
301900,NCR,109815,Wage/Salaries,0,22158,17550,14679,4260,3420,5150,44140,3640,0,3290,101790,72000,480,17790,3600,1900,24444,3200,0,0,Female,73,Widowed,Elementary Graduate,No Job/Business,,,Extended Family,4,0,0,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,25,15,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,1,1,0,0,0,2,1,0,0,0
169200,NCR,47653,Other sources of Income,0,13260,8450,3370,1080,120,420,23710,0,0,5048,32532,0,0,2220,2880,61800,11250,6500,0,0,Female,23,Single,Second Year College,No Job/Business,,,Extended Family,2,0,0,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,10,10,0,Rent house/room including lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,0,1,0,0,0,2,1,0,0,0
428200,NCR,179808,Wage/Salaries,0,20996,12350,24016,7920,3550,4980,102790,2184,2172,5339,72510,0,0,3630,15114,14210,42342,9500,0,0,Male,42,Married,Engineering and Engineering Trades Programs,With Job/Business,Electrical Engineers,Worked for private establishment,Single Family,3,0,1,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,12,15,1,Rent house/room including lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,1,1,1,1,0,0,2,1,0,0,0
283100,NCR,123872,Other sources of Income,0,17060,13350,18478,13320,3830,6776,45600,0,0,4310,65190,36000,6512,10200,10800,0,19194,6500,0,0,Male,57,Married,Third Year High School,No Job/Business,,,Single Family,3,0,0,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,20,12,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",2,1,0,1,1,0,0,0,2,1,0,0,0
513400,NCR,189137,Wage/Salaries,0,44962,33800,20602,14840,3670,7490,73470,0,4344,5299,115800,60000,180,16722,18714,0,47166,6000,0,0,Female,59,Married,High School Graduate,No Job/Business,,,Extended Family,6,0,0,4,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,30,25,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",2,1,1,1,1,1,0,1,3,1,1,0,0
96255,NCR,73028,Wage/Salaries,0,10078,6526,4020,4544,690,4120,7080,1820,1448,1410,30720,0,975,2436,2280,0,7314,500,0,0,Male,28,Married,High School Graduate,With Job/Business,"Messengers, package and luggage porters and deliverers",Worked for private establishment,Single Family,3,1,0,1,Duplex,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,10,35,0,Rent house/room including lot,"Water-sealed, sewer septic tank, shared with other household",1,"Shared, faucet, community water system",1,0,0,0,0,0,0,0,2,0,0,0,0
304222,NCR,130908,Wage/Salaries,0,25195,17628,12150,6649,2110,3620,67125,5005,2172,2260,81000,51000,8790,13422,1890,0,13374,1800,0,0,Male,60,Married,Elementary Graduate,With Job/Business,Lifting truck operators,Worked for private establishment,Single Family,3,0,0,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,20,9,2,Rent-free house and lot without consent of owner,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,1,1,0,0,0,2,0,0,0,0
287475,NCR,149365,Wage/Salaries,0,19663,14933,16415,6860,1635,4780,82145,1630,0,4830,70698,42000,3310,18516,2562,10250,16548,2850,0,0,Female,39,Married,High School Graduate,With Job/Business,"Helpers and cleaners in offices, hotels and other establishments",Worked for private establishment,Single Family,5,0,2,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,15,15,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,0,1,0,0,0,3,0,0,0,0
367204,NCR,190454,Wage/Salaries,0,43072,30680,43765,7614,3980,4458,45700,4290,905,6185,75060,30000,12195,17004,1980,780,27552,2400,0,94790,Male,43,Married,High School Graduate,With Job/Business,Heavy truck and lorry drivers,Worked for private establishment,Extended Family,8,1,1,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,15,15,1,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,0,1,1,0,0,0,1,0,0,0,0
253164,NCR,126686,Enterpreneurial Activities,0,26336,19458,20980,12364,3570,4560,41600,5980,3258,6400,66060,36000,0,7344,7278,1150,13968,2500,0,217164,Female,39,Married,Elementary Graduate,With Job/Business,General managers/managing proprietors in wholesale and retail trade,Self-employed wihout any employee,Single Family,4,0,1,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,15,25,1,Rent-free house and lot without consent of owner,"Water-sealed, sewer septic tank, used exclusively by household",1,Peddler,1,1,0,1,1,0,0,2,0,0,0,0,1
259090,NCR,137784,Enterpreneurial Activities,0,39523,33485,25460,10884,1990,2655,43460,0,0,1650,59646,24000,0,33432,2400,10534,14190,1500,0,131178,Male,62,Married,Grade 4,No Job/Business,,,Extended Family,8,0,4,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,15,20,1,Rent-free house and lot without consent of owner,"Water-sealed, sewer septic tank, used exclusively by household",1,Peddler,1,1,0,0,1,0,0,0,4,0,0,0,0
